recon_loss	KL	disnt_basal	disnt_after	r2_mean	r2_var	adv_loss	penalty_adv	adv_perts	acc_perts	penalty_perts	adv_covariate_patient	penalty_covariate_patient	acc_covariate_patient	epoch	mode
-811.431199017693		0.4732189135982616	0.8933125753093143	0.4075180526825343	-51.11554598922536									0	valid
1262.1206750612		0.0	0.0	0.10253267377385479	-74.99972016425289	4.040318545457479	0.3081144543782789	1.7383417946261328	0.3240321980336228	0.09580843690402653	2.301976758886028	0.21230601971702917	0.4837063627468573	0	train
-5138.782743566177		0.46967987213180573	0.8424221038966246	0.6268051577328009	-8.445160373111266									1	valid
-4154.218631744385		0.0	0.0	0.587669354441344	-10.928262364248813	2.9929265396015063	0.034840263654382864	1.4820345680455904	0.398091068843732	0.012118681771110515	1.5108919683340434	0.02272158177873614	0.6520636846890321	1	train
-6616.260196461397		0.47123252074011157	0.8470803538062688	0.679637599302785	-20.00231010169362									2	valid
-6172.59016542177		0.0	0.0	0.6546451412339254	-10.661879456137394	2.5572343823072075	0.010102018457362237	1.4009317852355339	0.4094633326135777	0.005481709208225413	1.1563026027099506	0.004620309238445622	0.7005904832401791	2	train
-7236.791733685662		0.46782090844604696	0.8517567810928963	0.7033419158670435	-8.771968917365642									3	valid
-7091.010709195523		0.0	0.0	0.6904908749077722	-8.198534486581615	2.3256977699898385	0.0030024465451454173	1.3477069751636401	0.4332447127514594	0.002456944104407591	0.9779907948261982	0.00054550242150851	0.7323896159996858	3	train
-7891.014677159927		0.4681862121864985	0.8573835559049692	0.7285323608330008	-8.023443057352127									4	valid
-7637.293008340372		0.0	0.0	0.7147423186412102	-10.407392362993745	2.2002933766390824	0.0007877190023000181	1.3036822467236906	0.4584355303967321	0.0007399706551876413	0.896611125082583	4.774834920978292e-05	0.7414528787941546	4	train
-8049.659409466912		0.4612388388244455	0.8530783514176273	0.7365082489651698	-8.612382241178432									5	valid
-8001.928910538957		0.0	0.0	0.7307970831472271	-7.9445655451493815	2.107634003903415	0.0002369110853225943	1.2655261823454418	0.4751101363752339	0.00021276006031703033	0.8421078284044523	2.415102490347784e-05	0.747013126273413	5	train
-8221.977797564337		0.4614393736939711	0.8526771827095289	0.7461248221512623	-16.574253042521313									6	valid
-8294.80766007707		0.0	0.0	0.7425330245250183	-8.823240721998769	2.0631769766678683	5.0708838824327676e-05	1.2455876783744708	0.4850576381022866	3.605637162503886e-05	0.8175892950715246	1.4652467403461092e-05	0.7468012446487272	6	train
-8332.784064797794		0.45062889674138584	0.8486110029498776	0.7498615610579007	-8.745422316384861									7	valid
-8460.484033533045		0.0	0.0	0.7470124396650677	-11.683243333248013	2.023129185309281	2.378183625277954e-05	1.2327954221416164	0.4927467033267021	1.521526849278509e-05	0.7903337680004738	8.566567722872215e-06	0.7526393581081081	7	train
-8702.04044117647		0.4535277139141001	0.8498346061094678	0.760946125284191	-12.376672847382224									8	valid
-8625.690535261825		0.0	0.0	0.7497924189855748	-10.335881025766028	1.9763431339650541	1.906384229688247e-05	1.214965732516469	0.4995356304822741	1.2215603502988175e-05	0.7613773941993713	6.848238861178344e-06	0.7575368337534569	8	train
-8925.993910845587		0.4496189864907666	0.8481883520089999	0.7612582326926687	-9.507591759625413									9	valid
-8788.407200168918		0.0	0.0	0.7544013843109235	-10.029219930457106	1.9624739393994615	1.479656287171695e-05	1.216540016032554	0.49896302537338155	9.91829652051894e-06	0.745933926186046	4.878266398760871e-06	0.760695265757071	9	train
-8719.955307904413		0.4479528340433343	0.8529617465530821	0.7632381487793095	-8.501275961506764									10	valid
-8915.831985061233		0.0	0.0	0.7573152156526515	-9.50372449535888	1.9139610263141427	1.5213897499126353e-05	1.1939869216970496	0.507579761985186	1.1500778699122079e-05	0.7199741005897522	3.7131187489612044e-06	0.7687746338747643	10	train
-8822.30623851103		0.4429073933553086	0.8481142383963053	0.7654941706248264	-4.301933974584147									11	valid
-8975.592235668286		0.0	0.0	0.7594032345979068	-6.625483921871911	1.9115387032160889	1.5002256244473273e-05	1.1990007057383254	0.507448910861402	1.1635077832895093e-05	0.7125379966722952	3.367178379096226e-06	0.770809139351587	11	train
-8884.464958639706		0.44459653406644656	0.8441948521409492	0.7641933004918386	-7.300860899713718									12	valid
-9019.26822146854		0.0	0.0	0.7635450016644395	-8.036528913782815	1.9081257992499583	1.8038974155146837e-05	1.2011626137269509	0.5079451692668168	1.502344401401666e-05	0.7069631859257415	3.015530124889201e-06	0.7709565033783784	12	train
-9020.42888327206		0.4450238381297189	0.8429254956833149	0.7728670230902458	-10.855357701767074									13	valid
-9133.21001702386		0.0	0.0	0.7662031628490115	-11.14292490424281	1.8623059198663041	1.2960745352200097e-05	1.182449701670054	0.5173890910841323	1.0496871394080903e-05	0.6798562190017184	2.463873987120938e-06	0.7816569011759114	13	train
-8996.82755055147		0.4424195083340943	0.8413797711762935	0.7737930814270113	-6.538212465625284									14	valid
-9190.658813476562		0.0	0.0	0.7657942234822951	-7.370733810775313	1.8490548633240365	1.0874033027996157e-05	1.1783511352700156	0.5165037456396464	8.41916641306574e-06	0.6707037316786276	2.4548666242109756e-06	0.7841239676282212	14	train
-9228.901022518383		0.4383086838794642	0.8437971543099408	0.7718009136667169	-5.471764246820116									15	valid
-9260.645534206082		0.0	0.0	0.7683707993856622	-6.564789663025287	1.8413061056588147	1.5680783495294497e-05	1.1773643026480805	0.5148398694959847	1.3011536598891585e-05	0.6639418030107344	2.669246970647376e-06	0.7853996576489629	15	train
-9021.990521599264		0.4384392777131329	0.8415568471888425	0.7748043155052209	-5.953577645789525									16	valid
-9322.617015941723		0.0	0.0	0.7697183747715776	-6.705542244184071	1.8294199616522402	1.339573426015036e-05	1.1730365596107535	0.5188311298151274	1.143508268573989e-05	0.6563834016387528	1.960651582530958e-06	0.7876321145811597	16	train
-9164.38849954044		0.43895901382085356	0.8392683090097757	0.774184874703005	-6.249562763384334									17	valid
-9347.62361763619		0.0	0.0	0.7710615325020592	-5.30133190711657	1.8376978047796197	1.2493828089831443e-05	1.1830217475826676	0.5144067982564101	1.0003085491211541e-05	0.6546760563914841	2.4907426015200757e-06	0.7875228745711816	17	train
-9129.237074908087		0.4397382509074972	0.8421636017922698	0.7822804592900929	-3.75142200779955									18	valid
-9360.346844647382		0.0	0.0	0.7717585489159113	-5.3494560048081725	1.8660604140243016	1.2861242158597095e-05	1.1932714782856606	0.5083570272938626	1.080207489301719e-05	0.6727889292948955	2.0591672945816493e-06	0.7827918251623979	18	train
-9273.876034007353		0.43846435837182707	0.8414445028866319	0.78035673776565	-15.517114712698287									19	valid
-9428.547214817356		0.0	0.0	0.7725769993312483	-5.967712035806775	1.823213596601744	1.3686810684610427e-05	1.1783032018590618	0.5155095230485942	1.1595407933819675e-05	0.644910398770023	2.091402721208972e-06	0.7920977618243243	19	train
-9505.95352711397		0.4359332169312865	0.8358863363619705	0.7842574302776552	-7.917150850466821									20	valid
-9461.635663006757		0.0	0.0	0.7759518012534965	-4.826580069822989	1.835778902511339	1.381433369307179e-05	1.176414112786989	0.5146695531501964	1.1585978042176624e-05	0.6593647909325522	2.228355690337538e-06	0.78626258107456	20	train
-8948.743508731617		0.43415133056330385	0.8324761197167455	0.7782863326507029	-5.816483191592187									21	valid
-9524.570916253168		0.0	0.0	0.7731950792331012	-6.881374150163388	1.8160919498752903	1.6841772975920098e-05	1.1763527989387512	0.5105373647970122	1.511671271424459e-05	0.6397391481174005	1.7250602309336594e-06	0.7933785834827939	21	train
