recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,adv_covariate_patient,penalty_covariate_patient,acc_covariate_patient,epoch,mode
-94.8114080990062,,0.38362356567267397,1.152874661602145,0.4278440901947331,-70.38247993862035,,,,,,,,,0,valid
1146.7305213051873,,0.0,0.0,0.06909353081793293,-48.3032931057574,4.5571982796127735,0.21955971492036264,1.9973153504165444,0.18184205461796876,0.05261026590834467,2.55988292436342,0.16694944739645842,0.3139164554508957,0,train
-4631.853687959559,,0.39419054741301823,1.1650044987694594,0.6338494206644901,-9.977409061114464,,,,,,,,,1,valid
-4202.148721849596,,0.0,0.0,0.6296081806517837,-5.991042198178821,3.7199987350283443,0.027126048729583924,1.873537923033173,0.24886631411877838,0.005328681911531912,1.8464608047459576,0.021797366810924545,0.5029678115168134,1,train
-6523.893296185662,,0.39118355956474743,1.1626270638247482,0.6874489762186063,-8.99975309926338,,,,,,,,,2,valid
-6081.45178552576,,0.0,0.0,0.6745136091150697,-3.300087447987001,3.413734276552458,0.014956643434279427,1.838016609887819,0.2504387915738531,0.0026052263945493164,1.5757176714974481,0.012351417049233402,0.5502057232566782,2,train
-7321.388987821691,,0.38970733046044803,1.1634287242944847,0.7058176329770846,-6.303819924347765,,,,,,,,,3,valid
-7132.716572529561,,0.0,0.0,0.6979675733947566,-3.5873140956390315,3.2983000294582263,0.009589080613258541,1.8271949105971568,0.2522269520606544,0.0015870926269729222,1.4711051188610695,0.008001987974406505,0.5637910861421276,3,train
-8023.559139476103,,0.38565357466391065,1.1667424012942516,0.7244956059112201,-5.26328865848572,,,,,,,,,4,valid
-7886.84190904772,,0.0,0.0,0.7155306414344988,-3.951634074226527,3.237728756827277,0.00626827195780922,1.823686402391743,0.2506207549894178,0.0010854543064369308,1.4140423576574068,0.005182817632959661,0.5722311666688403,4,train
-8437.481904871323,,0.38427262962312564,1.1675051051995977,0.7390733527269665,-5.0193723660427,,,,,,,,,5,valid
-8381.166301005596,,0.0,0.0,0.7315543398022386,-3.1855949214710053,3.2087747841267973,0.0035093111694049165,1.822261687871572,0.24648533862184835,0.0008043710128119102,1.3865130946442887,0.0027049401779754125,0.5727832325406976,5,train
-8812.585592830883,,0.38189162343691946,1.1651304602983017,0.7534833138780219,-8.828447354217777,,,,,,,,,6,valid
-8833.8168252481,,0.0,0.0,0.7468810556148308,-5.298953081170016,3.192890605411014,0.001794858297513684,1.8204353427564777,0.24793208279722445,0.0005776927463724563,1.3724552763474953,0.0012171655496563383,0.5731762035472973,6,train
-8651.869083180147,,0.38242948605704447,1.164153780035078,0.7613765691301744,-3.487945877271352,,,,,,,,,7,valid
-9137.471760517841,,0.0,0.0,0.7573068241225398,-3.585645629000658,3.171888759007325,0.0008895661116444639,1.8186419018217035,0.2408981577971497,0.0004617695596273418,1.3532468483254716,0.0004277965517201442,0.5760083814730516,7,train
-9367.3115234375,,0.378151722405821,1.1617055111722279,0.7806349070284594,-9.727620095832648,,,,,,,,,8,valid
-9378.265522724872,,0.0,0.0,0.7684793383181338,-5.172232426449561,3.158047510159982,0.0005274642706131182,1.816214157922848,0.2505038845780733,0.0003881921928746588,1.3418333506261981,0.00013927207621644794,0.5781125363868636,8,train
-9463.651999080883,,0.3783249104265786,1.1669627905498374,0.7880426410620865,-5.92357822257585,,,,,,,,,9,valid
