recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,adv_cell_type,penalty_cell_type,acc_cell_type,epoch,mode
-7762.5432526344475,0.0,0.7082842766775477,0.9969975531898148,0.710235127522836,-3823.104538006595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,valid
2045.2267304789814,0.0,0.0,0.0,0.3483285283161812,-13746.37051669928,6.088884053202722,0.21040416772922743,5.018657086212511,0.007620924825206139,0.17601832417877514,1.0702269542423977,0.034385842586988985,0.7084404929524901,0,train
-20822.76753270349,0.0,0.704992188501076,0.9952451527415522,0.875129102751392,-2482.5837731361994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,valid
-18699.1844574151,0.0,0.0,0.0,0.8490670676235925,-3527.1944302469733,5.454487836429839,0.010387542762834092,4.948677856798117,0.011005401164508623,2.675041108412425e-05,0.5058099727410112,0.010360792384523412,0.8857557539305935,1,train
-29443.442905159885,0.0,0.6992180003020365,0.9931077735179119,0.9086590767415886,-1699.1194505083827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,valid
-26367.117808435694,0.0,0.0,0.0,0.8969356583964037,-1759.432177924796,5.376491783671296,0.013187238517338815,4.907724556895349,0.013893088538501132,1.0210275037104071e-05,0.4687672202297718,0.013177028257885704,0.8728992487653832,2,train
-33996.66206395349,0.0,0.7066643504109738,0.9929788028093834,0.929255129210477,-1361.1423360013987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,valid
-31251.61789875361,0.0,0.0,0.0,0.9199746654871498,-1561.1968986356032,5.2999161626562215,0.01131999752200816,4.877590758263032,0.01651592500174063,6.339249893758476e-06,0.42232539664114144,0.011313658288639524,0.8809479275190761,3,train
-37728.71711482558,0.0,0.7062164734469003,0.9928181524908247,0.9397987467754656,-1064.1651208389856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,valid
-34718.29147850433,0.0,0.0,0.0,0.9354867659276814,-1248.8003871971089,5.249898902253609,0.007139543642330429,4.847695557368284,0.02028241738504757,4.769690411629436e-06,0.40220335091469606,0.007134773942601422,0.8844801990283018,4,train
